,나이가중
0,107.67399999999999
1,107.67399999999999
2,107.67399999999999
3,107.67399999999999
4,107.67399999999999
5,107.67399999999999
6,107.67399999999999
7,107.67399999999999
8,107.67399999999999
9,107.67399999999999
10,107.67399999999999
11,107.67399999999999
12,107.67399999999999
13,107.67399999999999
14,107.67399999999999
15,107.67399999999999
16,107.67399999999999
17,107.67399999999999
18,107.67399999999999
19,107.67399999999999
20,107.67399999999999
21,107.67399999999999
22,107.67399999999999
23,107.67399999999999
24,107.67399999999999
25,107.67399999999999
26,107.67399999999999
27,107.67399999999999
28,107.67399999999999
29,107.67399999999999
30,107.67399999999999
31,107.67399999999999
32,107.67399999999999
33,107.67399999999999
34,107.67399999999999
35,107.67399999999999
36,107.67399999999999
37,107.67399999999999
38,107.67399999999999
39,107.67399999999999
40,107.67399999999999
41,107.67399999999999
42,107.67399999999999
43,107.67399999999999
44,107.67399999999999
45,107.67399999999999
46,107.67399999999999
47,107.67399999999999
48,107.67399999999999
49,107.67399999999999
50,107.67399999999999
51,107.67399999999999
52,107.67399999999999
53,107.67399999999999
54,107.67399999999999
55,107.67399999999999
56,107.67399999999999
57,107.67399999999999
58,107.67399999999999
59,107.67399999999999
60,107.67399999999999
61,107.67399999999999
62,107.67399999999999
63,107.67399999999999
64,107.67399999999999
65,107.67399999999999
66,107.67399999999999
67,107.67399999999999
68,107.67399999999999
69,107.67399999999999
70,107.67399999999999
71,107.67399999999999
72,107.67399999999999
73,107.67399999999999
74,107.67399999999999
75,107.67399999999999
76,107.67399999999999
77,107.67399999999999
78,107.67399999999999
79,107.67399999999999
80,107.67399999999999
81,107.67399999999999
82,107.67399999999999
83,107.67399999999999
84,107.67399999999999
85,107.67399999999999
86,107.67399999999999
87,107.67399999999999
88,107.67399999999999
89,107.67399999999999
90,107.67399999999999
91,107.67399999999999
92,107.67399999999999
93,107.67399999999999
94,107.67399999999999
95,107.67399999999999
96,107.67399999999999
97,107.67399999999999
98,107.67399999999999
99,107.67399999999999
100,107.67399999999999
101,107.67399999999999
102,107.67399999999999
103,107.67399999999999
104,107.67399999999999
105,107.67399999999999
106,107.67399999999999
107,107.67399999999999
108,107.67399999999999
109,107.67399999999999
110,107.67399999999999
111,107.67399999999999
112,107.67399999999999
113,107.67399999999999
114,107.67399999999999
115,107.67399999999999
116,107.67399999999999
117,107.67399999999999
118,107.67399999999999
119,107.67399999999999
120,107.67399999999999
121,107.67399999999999
122,107.67399999999999
123,107.67399999999999
124,107.67399999999999
125,107.67399999999999
126,107.67399999999999
127,107.67399999999999
128,107.67399999999999
129,107.67399999999999
130,107.67399999999999
131,107.67399999999999
132,107.67399999999999
133,107.67399999999999
134,107.67399999999999
135,107.67399999999999
136,107.67399999999999
137,107.67399999999999
138,107.67399999999999
139,107.67399999999999
140,107.67399999999999
141,107.67399999999999
142,107.67399999999999
143,107.67399999999999
144,107.67399999999999
145,107.67399999999999
146,107.67399999999999
147,107.67399999999999
148,107.67399999999999
149,107.67399999999999
150,107.67399999999999
151,107.67399999999999
152,107.67399999999999
153,107.67399999999999
154,107.67399999999999
155,107.67399999999999
156,107.67399999999999
157,107.67399999999999
158,107.67399999999999
159,107.67399999999999
160,107.67399999999999
161,107.67399999999999
162,107.67399999999999
163,107.67399999999999
164,107.67399999999999
165,107.67399999999999
166,107.67399999999999
167,107.67399999999999
168,107.67399999999999
169,107.67399999999999
170,107.67399999999999
171,107.67399999999999
172,107.67399999999999
173,107.67399999999999
174,107.67399999999999
175,107.67399999999999
176,107.67399999999999
177,107.67399999999999
178,107.67399999999999
179,107.67399999999999
180,107.67399999999999
181,107.67399999999999
182,107.67399999999999
183,107.67399999999999
184,107.67399999999999
185,107.67399999999999
186,107.67399999999999
187,107.67399999999999
188,107.67399999999999
189,107.67399999999999
190,107.67399999999999
191,107.67399999999999
192,107.67399999999999
193,107.67399999999999
194,107.67399999999999
195,107.67399999999999
196,107.67399999999999
197,107.67399999999999
198,107.67399999999999
199,107.67399999999999
200,107.67399999999999
201,107.67399999999999
202,107.67399999999999
203,107.67399999999999
204,107.67399999999999
205,107.67399999999999
206,107.67399999999999
207,107.67399999999999
208,107.67399999999999
209,107.67399999999999
210,107.67399999999999
211,107.67399999999999
212,107.67399999999999
213,107.67399999999999
214,107.67399999999999
215,107.67399999999999
216,107.67399999999999
217,107.67399999999999
218,107.67399999999999
219,107.67399999999999
220,107.67399999999999
221,107.67399999999999
222,107.67399999999999
223,107.67399999999999
224,107.67399999999999
225,107.67399999999999
226,107.67399999999999
227,107.67399999999999
228,107.67399999999999
229,107.67399999999999
230,107.67399999999999
231,107.67399999999999
232,107.67399999999999
233,107.67399999999999
234,107.67399999999999
235,107.67399999999999
236,107.67399999999999
237,107.67399999999999
238,107.67399999999999
239,107.67399999999999
240,107.67399999999999
241,107.67399999999999
242,107.67399999999999
243,107.67399999999999
244,107.67399999999999
245,107.67399999999999
246,107.67399999999999
247,107.67399999999999
248,107.67399999999999
249,107.67399999999999
250,107.67399999999999
251,107.67399999999999
252,107.67399999999999
253,107.67399999999999
254,107.67399999999999
255,107.67399999999999
256,107.67399999999999
257,107.67399999999999
258,107.67399999999999
259,107.67399999999999
260,107.67399999999999
261,107.67399999999999
262,107.67399999999999
263,107.67399999999999
264,107.67399999999999
265,107.67399999999999
266,107.67399999999999
267,107.67399999999999
268,107.67399999999999
269,107.67399999999999
270,107.67399999999999
271,107.67399999999999
272,107.67399999999999
273,107.67399999999999
274,107.67399999999999
275,107.67399999999999
276,107.67399999999999
277,107.67399999999999
278,107.67399999999999
279,107.67399999999999
280,107.67399999999999
281,107.67399999999999
282,107.67399999999999
283,107.67399999999999
284,107.67399999999999
285,107.67399999999999
286,107.67399999999999
287,107.67399999999999
288,107.67399999999999
289,107.67399999999999
290,107.67399999999999
291,107.67399999999999
292,107.67399999999999
293,107.67399999999999
294,107.67399999999999
295,107.67399999999999
296,107.67399999999999
297,107.67399999999999
298,107.67399999999999
299,107.67399999999999
300,107.67399999999999
301,107.67399999999999
302,107.67399999999999
303,107.67399999999999
304,107.67399999999999
305,107.67399999999999
306,107.67399999999999
307,107.67399999999999
308,107.67399999999999
309,107.67399999999999
310,107.67399999999999
311,107.67399999999999
312,107.67399999999999
313,107.67399999999999
314,107.67399999999999
315,107.67399999999999
316,107.67399999999999
317,107.67399999999999
318,107.67399999999999
319,107.67399999999999
320,107.67399999999999
321,107.67399999999999
322,107.67399999999999
323,107.67399999999999
324,107.67399999999999
325,107.67399999999999
326,107.67399999999999
327,107.67399999999999
328,107.67399999999999
329,107.67399999999999
330,107.67399999999999
331,107.67399999999999
332,107.67399999999999
333,107.67399999999999
334,107.67399999999999
335,107.67399999999999
336,107.67399999999999
337,107.67399999999999
338,107.67399999999999
339,107.67399999999999
340,107.67399999999999
341,107.67399999999999
342,107.67399999999999
343,107.67399999999999
344,107.67399999999999
345,107.67399999999999
346,107.67399999999999
347,107.67399999999999
348,107.67399999999999
349,107.67399999999999
350,107.67399999999999
351,107.67399999999999
352,107.67399999999999
353,107.67399999999999
354,107.67399999999999
355,107.67399999999999
356,107.67399999999999
357,107.67399999999999
358,107.67399999999999
359,107.67399999999999
360,107.67399999999999
361,107.67399999999999
362,107.67399999999999
363,107.67399999999999
364,107.67399999999999
365,107.67399999999999
366,107.67399999999999
367,107.67399999999999
368,107.67399999999999
369,107.67399999999999
370,107.67399999999999
371,107.67399999999999
372,107.67399999999999
373,107.67399999999999
374,107.67399999999999
375,107.67399999999999
376,107.67399999999999
377,107.67399999999999
378,107.67399999999999
379,107.67399999999999
380,107.67399999999999
381,107.67399999999999
382,107.67399999999999
383,107.67399999999999
384,107.67399999999999
385,107.67399999999999
386,107.67399999999999
387,107.67399999999999
388,107.67399999999999
389,107.67399999999999
390,107.67399999999999
391,107.67399999999999
392,107.67399999999999
393,107.67399999999999
394,107.67399999999999
395,107.67399999999999
396,107.67399999999999
397,107.67399999999999
398,107.67399999999999
399,107.67399999999999
400,107.67399999999999
401,107.67399999999999
402,107.67399999999999
403,107.67399999999999
404,107.67399999999999
405,107.67399999999999
406,107.67399999999999
407,107.67399999999999
408,107.67399999999999
409,107.67399999999999
410,107.67399999999999
411,107.67399999999999
412,107.67399999999999
413,107.67399999999999
414,107.67399999999999
415,107.67399999999999
416,107.67399999999999
417,107.67399999999999
418,107.67399999999999
419,107.67399999999999
420,107.67399999999999
421,107.67399999999999
422,107.67399999999999
423,107.67399999999999
424,107.67399999999999
425,107.67399999999999
426,107.67399999999999
427,107.67399999999999
428,107.67399999999999
429,107.67399999999999
430,107.67399999999999
431,107.67399999999999
432,107.67399999999999
433,107.67399999999999
434,107.67399999999999
435,107.67399999999999
436,107.67399999999999
437,107.67399999999999
438,107.67399999999999
439,107.67399999999999
440,107.67399999999999
441,107.67399999999999
442,107.67399999999999
443,107.67399999999999
444,107.67399999999999
445,107.67399999999999
446,107.67399999999999
447,107.67399999999999
448,107.67399999999999
449,107.67399999999999
450,107.67399999999999
451,107.67399999999999
452,107.67399999999999
453,107.67399999999999
454,107.67399999999999
455,107.67399999999999
456,107.67399999999999
457,107.67399999999999
458,107.67399999999999
459,107.67399999999999
460,107.67399999999999
461,107.67399999999999
462,107.67399999999999
463,107.67399999999999
464,107.67399999999999
465,107.67399999999999
466,107.67399999999999
467,107.67399999999999
468,107.67399999999999
469,107.67399999999999
470,107.67399999999999
471,107.67399999999999
472,107.67399999999999
473,107.67399999999999
474,107.67399999999999
475,107.67399999999999
476,107.67399999999999
477,107.67399999999999
478,107.67399999999999
479,107.67399999999999
480,107.67399999999999
481,107.67399999999999
482,107.67399999999999
483,107.67399999999999
484,107.67399999999999
485,107.67399999999999
486,107.67399999999999
487,107.67399999999999
488,107.67399999999999
489,107.67399999999999
490,107.67399999999999
491,107.67399999999999
492,107.67399999999999
493,107.67399999999999
494,107.67399999999999
495,107.67399999999999
496,107.67399999999999
497,107.67399999999999
498,107.67399999999999
499,107.67399999999999
500,107.67399999999999
501,107.67399999999999
502,107.67399999999999
503,107.67399999999999
504,107.67399999999999
505,107.67399999999999
506,107.67399999999999
507,107.67399999999999
508,107.67399999999999
509,107.67399999999999
510,107.67399999999999
511,107.67399999999999
512,107.67399999999999
513,107.67399999999999
514,107.67399999999999
515,107.67399999999999
516,107.67399999999999
517,107.67399999999999
518,107.67399999999999
519,107.67399999999999
520,107.67399999999999
521,107.67399999999999
522,107.67399999999999
523,107.67399999999999
524,107.67399999999999
525,107.67399999999999
526,107.67399999999999
527,107.67399999999999
528,107.67399999999999
529,107.67399999999999
530,107.67399999999999
531,107.67399999999999
532,107.67399999999999
533,107.67399999999999
534,107.67399999999999
535,107.67399999999999
536,107.67399999999999
537,107.67399999999999
538,107.67399999999999
539,107.67399999999999
540,107.67399999999999
541,107.67399999999999
542,107.67399999999999
543,107.67399999999999
544,107.67399999999999
545,107.67399999999999
546,107.67399999999999
547,107.67399999999999
548,107.67399999999999
549,107.67399999999999
550,107.67399999999999
551,107.67399999999999
552,107.67399999999999
553,107.67399999999999
554,107.67399999999999
555,107.67399999999999
556,107.67399999999999
557,107.67399999999999
558,107.67399999999999
559,107.67399999999999
560,107.67399999999999
561,107.67399999999999
562,107.67399999999999
563,107.67399999999999
564,107.67399999999999
565,107.67399999999999
566,107.67399999999999
567,107.67399999999999
568,107.67399999999999
569,107.67399999999999
570,107.67399999999999
571,107.67399999999999
572,107.67399999999999
573,107.67399999999999
574,107.67399999999999
575,107.67399999999999
576,107.67399999999999
577,107.67399999999999
578,107.67399999999999
579,107.67399999999999
580,107.67399999999999
581,107.67399999999999
582,107.67399999999999
583,107.67399999999999
584,107.67399999999999
585,107.67399999999999
586,107.67399999999999
587,107.67399999999999
588,107.67399999999999
589,107.67399999999999
590,107.67399999999999
591,107.67399999999999
592,107.67399999999999
593,107.67399999999999
594,107.67399999999999
595,107.67399999999999
596,107.67399999999999
597,107.67399999999999
598,107.67399999999999
599,107.67399999999999
600,107.67399999999999
601,107.67399999999999
602,107.67399999999999
603,107.67399999999999
604,107.67399999999999
605,107.67399999999999
606,107.67399999999999
607,107.67399999999999
608,107.67399999999999
609,107.67399999999999
610,107.67399999999999
611,107.67399999999999
612,107.67399999999999
613,107.67399999999999
614,107.67399999999999
615,107.67399999999999
616,107.67399999999999
617,107.67399999999999
618,107.67399999999999
619,107.67399999999999
620,107.67399999999999
621,107.67399999999999
622,107.67399999999999
623,107.67399999999999
624,107.67399999999999
625,107.67399999999999
626,107.67399999999999
627,107.67399999999999
628,107.67399999999999
629,107.67399999999999
630,107.67399999999999
631,107.67399999999999
632,107.67399999999999
633,107.67399999999999
634,107.67399999999999
635,107.67399999999999
636,107.67399999999999
637,107.67399999999999
638,107.67399999999999
639,107.67399999999999
640,107.67399999999999
641,107.67399999999999
642,107.67399999999999
643,107.67399999999999
644,107.67399999999999
645,107.67399999999999
646,107.67399999999999
647,107.67399999999999
648,107.67399999999999
649,107.67399999999999
650,107.67399999999999
651,107.67399999999999
652,107.67399999999999
653,107.67399999999999
654,107.67399999999999
